MJD,Observatory,Filter,Svo_filter,Flux,d_Flux,Mag,d_Mag,WavelengthEff,FrequencyEff
58848.2026,Swift,UVW1,Swift/UVOT.UVW1_trn,1250.189709965961,63.33070017080776,16.1575602,0.055,2715.6802141471,1103931370263174.8
58851.853,Swift,UVW1,Swift/UVOT.UVW1_trn,1121.4396833190542,56.8086265450532,16.2755602,0.055,2715.6802141471,1103931370263174.8
58820.0669,Swift,UVW2,Swift/UVOT.UVW2_trn,2342.9839846021473,97.10855992923652,15.4755767,0.045,2075.6885881571,1444303638370776.5
58821.4661,Swift,UVW2,Swift/UVOT.UVW2_trn,2281.2312907496535,94.54912494753091,15.5045767,0.045,2075.6885881571,1444303638370776.5
58822.497,Swift,UVW2,Swift/UVOT.UVW2_trn,2225.2013769018427,94.27636555629776,15.5315767,0.046,2075.6885881571,1444303638370776.5
58823.8908,Swift,UVW2,Swift/UVOT.UVW2_trn,2164.5584617259497,91.70707286267104,15.5615767,0.046,2075.6885881571,1444303638370776.5
58827.1437,Swift,UVW2,Swift/UVOT.UVW2_trn,1885.2516084946449,81.60990230494096,15.7115767,0.047,2075.6885881571,1444303638370776.5
58829.5641,Swift,UVW2,Swift/UVOT.UVW2_trn,1680.2322646890036,74.2824530964581,15.8365767,0.048,2075.6885881571,1444303638370776.5
58831.5566,Swift,UVW2,Swift/UVOT.UVW2_trn,1565.1981286978792,70.6384368229495,15.9135767,0.049,2075.6885881571,1444303638370776.5
58833.34,Swift,UVW2,Swift/UVOT.UVW2_trn,1422.228312657428,65.49603423118138,16.0175767,0.05,2075.6885881571,1444303638370776.5
58835.7697,Swift,UVW2,Swift/UVOT.UVW2_trn,1244.426698244343,65.33108271518792,16.1625767,0.057,2075.6885881571,1444303638370776.5
58839.0845,Swift,UVW2,Swift/UVOT.UVW2_trn,1024.6353146280364,54.73599202825252,16.3735767,0.058,2075.6885881571,1444303638370776.5
58842.7068,Swift,UVW2,Swift/UVOT.UVW2_trn,842.8869307411745,45.0269980578559,16.5855767,0.058,2075.6885881571,1444303638370776.5
58845.4592,Swift,UVW2,Swift/UVOT.UVW2_trn,740.9165912639664,41.62697335599147,16.7255767,0.061,2075.6885881571,1444303638370776.5
58848.2061,Swift,UVW2,Swift/UVOT.UVW2_trn,630.0417367601641,34.23710318026157,16.9015767,0.059,2075.6885881571,1444303638370776.5
58851.8567,Swift,UVW2,Swift/UVOT.UVW2_trn,535.7588084005282,29.607125895919424,17.077576699999998,0.06,2075.6885881571,1444303638370776.5
58820.0432,Swift,UVM2,Swift/UVOT.UVM2_trn,2548.409691396331,107.9699150590138,15.38432688,0.046,2246.5638855614,1334448843973488.8
58821.4709,Swift,UVM2,Swift/UVOT.UVM2_trn,2497.2915519341886,108.10425444646025,15.40632688,0.047,2246.5638855614,1334448843973488.8
